Reaction,Target_Nucleus,Target_Z,Target_N,Target_Mass_A,Projectile,Compound_Nucleus,Compound_A,Compound_Z,Neutron_Excess,Isospin_Tz,Reduced_Mass_mu,Coulomb_Barrier_MeV,Gamow_Peak_E0_MeV,Gamow_Window_dE0_MeV,Energy_c.m._MeV,Sommerfeld_eta,Gamow_Factor_Exp_2pi_eta,S_Factor_S_E_keV_b,Cross_Section_sigma_nb,S0_Experimental_keV_b,S0_Exp_Uncertainty,S0_Theoretical_EFT_keV_b,ML_Polynomial_Reg_S0,ML_Cubic_Spline_S0,ML_Power_Law_S0,PCA_Component_1,PCA_Component_2,tSNE_Component_1,tSNE_Component_2,Network_Degree_Centrality
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.4237,1.2881,3.0564e-04,0.4495,9.6507e+04,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.4529,1.275,3.3167e-04,0.4495,1.0262e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.4822,1.2624,3.5914e-04,0.4495,1.0892e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.5114,1.2501,3.8789e-04,0.4495,1.1536e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.5407,1.2382,4.1812e-04,0.4495,1.2199e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.5699,1.2266,4.4964e-04,0.4495,1.2874e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.5992,1.2153,4.8270e-04,0.4495,1.3567e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.6284,1.2044,5.1706e-04,0.4495,1.4272e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.6576,1.1937,5.5286e-04,0.4495,1.4991e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.6869,1.1833,5.9024e-04,0.4495,1.5726e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.7161,1.1732,6.2895e-04,0.4494,1.6472e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.7454,1.1633,6.6927e-04,0.4494,1.7234e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.7746,1.1537,7.1093e-04,0.4494,1.8005e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.8039,1.1443,7.5422e-04,0.4494,1.8790e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.8331,1.1351,7.9886e-04,0.4494,1.9585e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.8624,1.1262,8.4515e-04,0.4494,2.0393e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.8916,1.1175,8.9278e-04,0.4494,2.1210e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.9208,1.1089,9.4191e-04,0.4494,2.2036e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.9501,1.1006,9.9272e-04,0.4494,2.2876e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,1.9793,1.0924,1.0449e-03,0.4494,2.3722e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.0086,1.0844,1.0987e-03,0.4493,2.4580e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.0378,1.0766,1.1539e-03,0.4493,2.5443e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.0671,1.069,1.2108e-03,0.4493,2.6319e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.0963,1.0615,1.2689e-03,0.4493,2.7199e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.1255,1.0542,1.3286e-03,0.4493,2.8086e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.1548,1.047,1.3901e-03,0.4493,2.8984e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.184,1.04,1.4528e-03,0.4493,2.9886e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.2133,1.0331,1.5172e-03,0.4493,3.0798e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.2425,1.0263,1.5829e-03,0.4493,3.1713e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.2718,1.0197,1.6503e-03,0.4493,3.2637e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.301,1.0132,1.7190e-03,0.4493,3.3563e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.3303,1.0068,1.7895e-03,0.4492,3.4498e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.3595,1.0005,1.8611e-03,0.4492,3.5435e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.3887,0.9944,1.9342e-03,0.4492,3.6376e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.418,0.9884,2.0091e-03,0.4492,3.7325e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.4472,0.9824,2.0852e-03,0.4492,3.8275e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.4765,0.9766,2.1630e-03,0.4492,3.9233e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.5057,0.9709,2.2419e-03,0.4492,4.0190e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.535,0.9653,2.3226e-03,0.4492,4.1155e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.5642,0.9598,2.4045e-03,0.4492,4.2119e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.5934,0.9544,2.4877e-03,0.4492,4.3086e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.6227,0.949,2.5727e-03,0.4492,4.4059e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.6519,0.9438,2.6588e-03,0.4491,4.5031e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.6812,0.9386,2.7466e-03,0.4491,4.6009e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.7104,0.9335,2.8355e-03,0.4491,4.6985e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.7397,0.9285,2.9261e-03,0.4491,4.7967e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.7689,0.9236,3.0178e-03,0.4491,4.8947e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.7982,0.9188,3.1111e-03,0.4491,4.9931e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.8274,0.914,3.2055e-03,0.4491,5.0914e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.8566,0.9093,3.3012e-03,0.4491,5.1897e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.8859,0.9047,3.3986e-03,0.4491,5.2885e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.9151,0.9002,3.4970e-03,0.4491,5.3870e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.9444,0.8957,3.5971e-03,0.449,5.4859e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,2.9736,0.8913,3.6981e-03,0.449,5.5844e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,3.0029,0.8869,3.8008e-03,0.449,5.6834e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,3.0321,0.8826,3.9044e-03,0.449,5.7820e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,3.0613,0.8784,4.0093e-03,0.449,5.8805e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,3.0906,0.8742,4.1158e-03,0.449,5.9794e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,3.1198,0.8701,4.2232e-03,0.449,6.0780e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,3.1491,0.8661,4.3323e-03,0.449,6.1768e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,3.1783,0.8621,4.4422e-03,0.449,6.2751e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,3.2076,0.8581,4.5537e-03,0.449,6.3738e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,3.2368,0.8543,4.6661e-03,0.449,6.4720e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,3.2661,0.8504,4.7801e-03,0.4489,6.5705e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,3.2953,0.8466,4.8948e-03,0.4489,6.6685e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,3.3245,0.8429,5.0108e-03,0.4489,6.7663e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,3.3538,0.8392,5.1283e-03,0.4489,6.8644e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,3.383,0.8356,5.2466e-03,0.4489,6.9620e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,3.4123,0.832,5.3665e-03,0.4489,7.0597e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,3.4415,0.8285,5.4871e-03,0.4489,7.1570e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,3.4708,0.825,5.6092e-03,0.4489,7.2544e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"20Ne(p, gamma)21Na",20Ne,10,10,20,p,2120Ne,21,11,-1,-0.5,0.9524,3.231,0.0339,0.0152,3.5,0.8215,5.7321e-03,0.4489,7.3513e+05,0.45,0.02,0.45,0.2606,0.45,0.2599,-0.6965,0.0524,14.65,-4.5,0.783
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.02,13.0931,1.8719e-36,0.35,3.2758e-26,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.0492,8.3478,1.6628e-23,0.35,1.1829e-13,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.0785,6.6088,9.2529e-19,0.35,4.1253e-09,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.1077,5.6422,4.0164e-16,0.35,1.3052e-06,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.137,5.0026,2.2343e-14,0.35,5.7076e-05,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.1662,4.5419,4.0382e-13,0.35,8.5033e-04,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.1955,4.1878,3.7378e-12,0.35,6.6909e-03,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.2247,3.9062,2.1925e-11,0.35,3.4147e-02,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.2539,3.6747,9.3883e-11,0.3499,1.2940e-01,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.2832,3.4794,3.2023e-10,0.3499,3.9570e-01,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.3124,3.3128,9.1217e-10,0.3499,1.0218e+00,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.3417,3.1676,2.2716e-09,0.3499,2.3263e+00,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.3709,3.0404,5.0531e-09,0.3499,4.7673e+00,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.4002,2.927,1.0305e-08,0.3499,9.0099e+00,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.4294,2.8257,1.9471e-08,0.3499,1.5866e+01,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.4587,2.734,3.4650e-08,0.3499,2.6432e+01,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.4879,2.6509,5.8398e-08,0.3499,4.1880e+01,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.5171,2.5749,9.4102e-08,0.3499,6.3673e+01,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.5464,2.505,1.4608e-07,0.3499,9.3540e+01,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.5756,2.4406,2.1889e-07,0.3499,1.3305e+02,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
"24Mg(p, gamma)25Al",24Mg,12,12,24,p,2524Mg,25,13,-1,-0.5,0.96,3.707,0.0384,0.0162,0.6049,2.3808,3.1880e-07,0.3499,1.8439e+02,0.35,0.02,0.35,0.2071,0.35,0.2079,-0.6239,0.052,16.45,-4.5,0.797
